Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Estimated_Project_Value,Most_Recent_Inspection,Type_of_Structure,Work_Description,Active_Parcel,Date_Inspection_Completed,Occupancy_Type,Residential_Units_Demoed,District,Inspection_Outcome
"SOLAR-2023-02120","2023-03-15 12:00:00","2023-03-16 12:00:00","2023-08-25 12:00:00","2025-03-16 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",146632,"122","JADRY CRT","HAMMONDS PLAINS","41315730",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-08-25 12:00:00",,,"District 14","Passed"
"SOLAR-2023-02122","2023-03-15 12:00:00","2023-03-16 12:00:00","2023-07-14 12:00:00","2025-03-16 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",102287,"50","HUTT RD","OWLS HEAD","00555508",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-07-14 12:00:00",,,"District 02","Passed"
"SOLAR-2023-02124","2023-03-15 12:00:00","2023-03-16 12:00:00","2023-08-25 12:00:00","2025-03-16 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",94412,"11","JEFFREY LANE","WELLINGTON","40355513",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-08-25 12:00:00",,,"District 01","Passed"
"SOLAR-2023-02127","2023-03-15 12:00:00","2023-03-17 12:00:00","2023-07-14 12:00:00","2025-03-17 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",100135,"182","HEAVENS LANE","PORTERS LAKE","40658155",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-07-14 12:00:00",,,"District 02","Passed"
"SOLAR-2023-02129","2023-03-15 12:00:00","2023-03-17 12:00:00","2023-07-13 12:00:00","2025-03-17 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",104425,"1810","WEST JEDDORE RD","WEST JEDDORE","00541201",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-07-13 12:00:00",,,"District 02","Passed"
"SOLAR-2023-02132","2023-03-15 12:00:00","2023-03-17 12:00:00","2023-05-23 12:00:00","2025-03-17 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",37317,"32","MACINTOSH RD","MIDDLE SACKVILLE","00459602",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-05-23 12:00:00",,,"District 14","Passed"
"SOLAR-2023-02234","2023-03-03 12:00:00","2023-03-06 12:00:00","2023-07-07 12:00:00","2025-03-06 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",123721,"244","SUMMER FIELD WAY","DARTMOUTH","41058520",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","solar PV","Y","2023-07-07 12:00:00",,,"District 03","Passed"
"SOLAR-2023-02331","2023-03-15 12:00:00","2023-03-17 12:00:00","2023-09-06 12:00:00","2025-03-17 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",56570,"9 A","HILTON DR","DARTMOUTH","00226258",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-09-06 12:00:00",,,"District 06","Passed"
"SOLAR-2022-10659","2022-08-05 12:00:00","2022-08-09 12:00:00","2022-12-01 12:00:00","2024-08-09 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",82955,"40","PARKHILL RD","HALIFAX","00280099",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2022-12-01 12:00:00",,,"District 11","Passed"
"SOLAR-2022-10680","2022-08-02 12:00:00","2022-08-05 12:00:00","2022-11-28 12:00:00","2024-08-05 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",122341,"37","SUNCREST LANE","LOWER SACKVILLE","41026568",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar PV","Y","2022-11-28 12:00:00",,,"District 15","Passed"
"SOLAR-2022-10705","2022-08-23 12:00:00","2022-08-25 12:00:00","2022-09-02 12:00:00","2024-08-25 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",130801,"124","PREAKNESS CRES","FALL RIVER","41115221",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install 24 Modules on back of roof","Y","2022-09-02 12:00:00",,,"District 01","Passed"
"SOLAR-2022-10735","2022-08-05 12:00:00","2022-08-17 12:00:00","2024-08-21 12:00:00","2024-08-17 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Expired (Closed)",147306,"116","DRYSDALE RD","HALIFAX","41332651",,,"Dwelling - Semi-Detached","Solar installation on existing roof","Y",,,,"District 11",
"SOLAR-2022-10814","2022-08-05 12:00:00","2022-08-09 12:00:00","2022-12-06 12:00:00","2024-08-09 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",70483,"6240","WILLOW ST","HALIFAX","00144808",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2022-12-06 12:00:00",,,"District 09","Passed"
"SOLAR-2022-10819","2024-06-25 12:00:00","2024-06-25 12:00:00","2024-07-15 12:00:00","2026-06-25 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",146124,"5779","HARBOURVIEW DR","HALIFAX","41471699",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install solar photovoltaic 'electric' on roof of residence.","Y","2024-07-15 12:00:00",,,"District 07","Passed"
"SOLAR-2022-10868","2022-12-13 12:00:00","2023-01-04 12:00:00",,"2025-01-04 12:00:00","Solar Permit","Installation","Ground Mount - Photovoltaic","Expired",139775,"322","WILLOWHILL RG","WAVERLEY","41237470",,"Building - SOL - Photovoltaic Final","Accessory Structure","Install ground mount solar panels","Y","2023-04-24 12:00:00",,,"District 01","Partially Passed"
"SOLAR-2022-11024","2024-08-06 12:00:00","2024-08-06 12:00:00","2024-08-30 12:00:00","2026-08-06 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",171362,"125","SIDHU DR","BEAVER BANK","41317967",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install solar photovoltaic system (solar electric) on roof of residence.","Y","2024-08-30 12:00:00",,,"District 15","Passed"
"SOLAR-2022-11061","2022-08-25 12:00:00","2022-08-29 12:00:00","2022-12-22 12:00:00","2024-08-29 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",24135,"100","THORNHILL DR","HALIFAX","00336800",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2022-12-22 12:00:00",,,"District 11","Passed"
"SOLAR-2022-11150","2024-05-23 12:00:00","2024-05-28 12:00:00","2024-06-20 12:00:00","2026-05-28 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",81216,"968","RITCHIE DR","HALIFAX","00050880",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install Roof Mount Photovoltaic Solar Panels","Y","2024-06-20 12:00:00",,,"District 07","Passed"
"SOLAR-2022-11209","2023-02-22 12:00:00","2023-03-03 12:00:00","2023-03-24 12:00:00","2025-03-03 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",126500,"216","GREENOUGH DR","WEST PORTERS LAKE","41039835",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar Pv","Y","2023-03-24 12:00:00",,,"District 02","Passed"
"SOLAR-2022-11215","2022-08-25 12:00:00","2022-08-29 12:00:00","2022-11-07 12:00:00","2024-08-29 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",144723,"567","ROBERT ST","FALL RIVER","41288044",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2022-11-07 12:00:00",,,"District 01","Passed"
"SOLAR-2022-11259","2022-08-14 12:00:00","2022-08-22 12:00:00","2022-08-30 12:00:00","2024-08-22 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",40131,"36","GLORIA AVE","LOWER SACKVILLE","40100257",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Roof mounted solar PV - 24 solar modules","Y","2022-08-30 12:00:00",,,"District 15","Passed"
"SOLAR-2022-11390","2024-05-23 12:00:00","2024-05-28 12:00:00","2024-06-17 12:00:00","2026-05-28 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",82330,"5782","HARBOURVIEW DR","HALIFAX","00046029",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install Roof Mount Photovoltaic Solar Panels","Y","2024-06-17 12:00:00",,,"District 07","Passed"
"SOLAR-2022-11418","2022-08-17 12:00:00","2022-08-18 12:00:00","2022-09-14 12:00:00","2024-08-18 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",119748,"62","WOODBURY DR","COLE HARBOUR","40694150",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Roof top solar PV installation","Y","2022-09-14 12:00:00",,,"District 04","Passed"
"SOLAR-2022-11422","2022-08-17 12:00:00","2022-08-18 12:00:00","2022-12-28 12:00:00","2024-08-18 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",127972,"109","IRWIN HUBLEY RD","SEABRIGHT","00614230",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Roof top solar PV installation","Y","2022-12-28 12:00:00",,,"District 13","Passed"
"SOLAR-2022-11480","2023-03-06 12:00:00","2023-03-07 12:00:00","2023-08-01 12:00:00","2025-03-07 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",134505,"62","ORIOLE LANE","BROOKSIDE","41159039",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar Pv","Y","2023-08-01 12:00:00",,,"District 13","Passed"
"SOLAR-2022-11564","2022-08-25 12:00:00","2022-08-29 12:00:00","2023-01-27 12:00:00","2024-08-29 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",134275,"1565","POCKWOCK RD","UPPER HAMMONDS PLAINS","41132424",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-01-27 12:00:00",,,"District 14","Passed"
"SOLAR-2022-11598","2022-08-23 12:00:00","2022-08-29 12:00:00","2023-01-12 12:00:00","2024-08-29 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",31419,"71","GILL COVE RD","KETCH HARBOUR","00392134",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Installation of 60 PV solar panels.","Y","2023-01-12 12:00:00",,,"District 11","Passed"
"SOLAR-2022-11616","2022-08-23 12:00:00","2022-08-29 12:00:00",,"2026-11-06 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Issued",85916,"77","ABRAMS WAY","HALIFAX","40766685",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Installation of Solar Panels(Roof-top)","Y","2024-11-08 12:00:00",,,"District 11","Failed"
"SOLAR-2022-11629","2022-08-25 12:00:00","2022-08-29 12:00:00","2023-01-19 12:00:00","2024-08-29 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",29943,"45","GROVER DR","WILLIAMSWOOD","40518706",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-01-19 12:00:00",,,"District 11","Passed"
"SOLAR-2022-11749","2022-09-20 12:00:00","2022-09-27 12:00:00","2023-01-18 12:00:00","2024-09-27 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",164702,"85","RAFTING DR","MIDDLE SACKVILLE","41321514",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-01-18 12:00:00",,,"District 14","Passed"
"SOLAR-2022-11869","2023-06-22 12:00:00","2023-06-27 12:00:00","2023-06-29 12:00:00","2025-06-27 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",131503,"1599","POCKWOCK RD","UPPER HAMMONDS PLAINS","40799348",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install solar photovoltaic (electric) system on roof of residence.","Y","2023-06-29 12:00:00",,,"District 14","Passed"
"SOLAR-2022-11951","2022-08-31 12:00:00","2022-09-02 12:00:00","2024-06-11 12:00:00","2024-09-02 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",123081,"46","BERRY HILL DR","DARTMOUTH","41044538",,"Development - Development Agreement","Dwelling - Single Detached","Install roof mount solar panels","Y","2024-06-11 12:00:00",,,"District 03","Waived"
"SOLAR-2022-11976","2022-08-31 12:00:00","2022-09-02 12:00:00","2023-02-22 12:00:00","2024-09-02 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",83477,"757","COW BAY RD","EASTERN PASSAGE","40082612",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","53 panels","Y","2023-02-22 12:00:00",,,"District 03","Passed"
"SOLAR-2022-12112","2022-09-07 12:00:00","2022-09-14 12:00:00","2024-10-31 12:00:00","2024-09-14 12:00:00","Solar Permit","Installation","Ground Mount - Photovoltaic","Expired (Closed)",23241,"11951","PEGGYS COVE RD","FRENCH VILLAGE","00592030",,,"Dwelling - Single Detached","Install ground mount solar panels","Y",,,,"District 13",
"SOLAR-2022-12189","2022-09-12 12:00:00","2022-09-13 12:00:00","2022-09-15 12:00:00","2024-09-13 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",107414,"71","TWO RIVERS DR","MINEVILLE","40788630",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","20 445 watt solar panels","Y","2022-09-15 12:00:00",,,"District 02","Passed"
"SOLAR-2022-12215","2022-09-20 12:00:00","2022-09-22 12:00:00","2023-07-21 12:00:00","2024-09-22 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",148866,"60","MAPLE GROVE AVE","TIMBERLEA","41110156",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-07-21 12:00:00",,,"District 12","Passed"
"SOLAR-2022-12232","2022-09-09 12:00:00","2022-09-13 12:00:00","2022-11-18 12:00:00","2024-09-13 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",115180,"30","HUGH ALLEN DR","COLE HARBOUR","00398974",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install roof mounted Photovoltaic panels.","Y","2022-11-18 12:00:00",,,"District 04","Passed"
"SOLAR-2022-12237","2022-09-08 12:00:00","2022-09-09 12:00:00","2022-12-06 12:00:00","2024-09-09 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",101970,"122","MYRA RD","PORTERS LAKE","40245110",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Roof top solar PV installation","Y","2022-12-06 12:00:00",,,"District 02","Passed"
"SOLAR-2022-12240","2022-09-08 12:00:00","2022-09-09 12:00:00","2022-10-28 12:00:00","2024-09-09 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",110523,"1335","WEST PORTERS LAKE RD","WEST PORTERS LAKE","40715740",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Roof top solar PV installation","Y","2022-10-28 12:00:00",,,"District 02","Passed"
"SOLAR-2022-12244","2022-09-08 12:00:00","2022-09-09 12:00:00","2022-09-21 12:00:00","2024-09-09 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",168791,"105","BIGBEAR LOOP","PORTERS LAKE","41456195",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Roof top solar PV installation","Y","2022-09-21 12:00:00",,,"District 02","Passed"
"SOLAR-2022-12293","2022-10-19 12:00:00","2022-10-20 12:00:00","2022-12-23 12:00:00","2024-10-20 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",71245,"6566","LONDON ST","HALIFAX","00117713",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar PV","Y","2022-12-23 12:00:00",,,"District 09","Passed"
"SOLAR-2022-12296","2022-09-08 12:00:00","2022-09-13 12:00:00","2023-03-08 12:00:00","2024-09-13 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",108059,"31","COLONNA PL","DARTMOUTH","40338063",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar PV","Y","2023-03-08 12:00:00",,,"District 06","Passed"
"SOLAR-2022-12337","2022-09-20 12:00:00","2022-09-22 12:00:00","2023-03-07 12:00:00","2024-09-22 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",5647,"78","AHMADI CRES","BEDFORD","40738643",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-03-07 12:00:00",,,"District 16","Passed"
"SOLAR-2022-12395","2022-09-12 12:00:00","2022-09-20 12:00:00","2022-11-03 12:00:00","2024-09-20 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",58641,"3604","ALBERT ST","HALIFAX","00035493",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install 16 x 460 watt roof mounted PV solar panels","Y","2022-11-03 12:00:00",,,"District 08","Passed"
"SOLAR-2022-12435","2022-09-12 12:00:00","2022-09-14 12:00:00","2024-10-18 12:00:00","2026-10-17 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",62076,"31","LYNN DR","DARTMOUTH","40290546",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Roof mounted 18 panel (8.10 kW DC) solar PV system on main dwelling.","Y","2024-10-18 12:00:00",,,"District 03","Passed"
"SOLAR-2022-12452","2022-09-13 12:00:00","2022-09-15 12:00:00","2023-03-09 12:00:00","2024-09-15 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",16710,"28","DARRELL CRT","TIMBERLEA","40725236",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install roof mounted solar panels","Y","2023-03-09 12:00:00",,,"District 12","Passed"
"SOLAR-2022-12556","2022-09-14 12:00:00","2022-09-27 12:00:00","2022-10-31 12:00:00","2024-09-27 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",139190,"19","CROZIER CRT","HALIFAX","41235011",,"Development - Development Agreement","Dwelling - Single Detached","Install roof mount solar panels","Y","2022-10-31 12:00:00",,,"District 16","Waived"
"SOLAR-2022-12618","2022-09-20 12:00:00","2022-09-22 12:00:00","2023-10-03 12:00:00","2024-09-22 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",166065,"42","ANGLER DR","HERRING COVE","41320581",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-10-03 12:00:00",,,"District 11","Passed"
"SOLAR-2022-12678","2022-09-20 12:00:00","2022-09-22 12:00:00","2023-03-06 12:00:00","2024-09-22 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",93413,"182","SANDY LAKE RD","BEAVER BANK","40820128",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-03-06 12:00:00",,,"District 15","Passed"
"SOLAR-2022-12796","2022-09-20 12:00:00","2022-09-22 12:00:00","2023-03-08 12:00:00","2024-09-22 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",29203,"3403","PROSPECT RD","WHITES LAKE","00480970",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","To install solar panels on the roof of the house","Y","2023-03-08 12:00:00",,,"District 13","Passed"
"SOLAR-2022-12849","2022-09-21 12:00:00","2022-09-22 12:00:00","2023-05-08 12:00:00","2024-09-22 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",165679,"52","EVENTIDE LANE","MIDDLE SACKVILLE","41424979",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","36 panels","Y","2023-05-08 12:00:00",,,"District 14","Passed"
"SOLAR-2022-12897","2022-11-24 12:00:00","2022-12-01 12:00:00","2022-12-15 12:00:00","2024-12-01 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",29436,"30","YELLOWLEAF LANE","PORTUGUESE COVE","00389841",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install photovoltaic 'electric' system on roof of residence.","Y","2022-12-15 12:00:00",,,"District 11","Passed"
"SOLAR-2022-12928","2022-11-26 12:00:00","2022-11-28 12:00:00","2023-10-11 12:00:00","2024-11-28 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",9484,"6249","ST MARGARETS BAY RD","HEAD OF ST MARGARETS BAY","00571612",,"Building - SOL - Photovoltaic Final","Accessory Structure","Design and Installation - 4kW solar pv panels flush mounted to accesory building on property","Y","2023-10-11 12:00:00",,,"District 13","Passed"
"SOLAR-2022-12966","2022-10-07 12:00:00","2022-10-11 12:00:00","2023-01-17 12:00:00","2024-10-11 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",169256,"58","SAMAA CRT","BEDFORD","41456567",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-01-17 12:00:00",,,"District 16","Passed"
"SOLAR-2022-13088","2022-10-07 12:00:00","2022-10-12 12:00:00","2023-01-18 12:00:00","2024-10-12 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",39346,"86","RANKIN DR","LOWER SACKVILLE","00446997",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-01-18 12:00:00",,,"District 15","Passed"
"SOLAR-2022-13098","2022-10-07 12:00:00","2022-10-12 12:00:00","2023-02-10 12:00:00","2024-10-12 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",18850,"48","CENTRAL AVE","HALIFAX","00189449",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-02-10 12:00:00",,,"District 10","Passed"
"SOLAR-2022-13135","2022-10-07 12:00:00","2022-10-12 12:00:00","2023-07-12 12:00:00","2024-10-12 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",134022,"54","EDGEWATER CL","DARTMOUTH","41146606",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-07-12 12:00:00",,,"District 03","Passed"
"SOLAR-2022-13192","2022-10-07 12:00:00","2022-10-12 12:00:00","2023-03-06 12:00:00","2024-10-12 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",168131,"247","PINETREE CRES","HAMMONDS PLAINS","41065541",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-03-06 12:00:00",,,"District 14","Passed"
"SOLAR-2022-13305","2022-10-05 12:00:00","2022-10-12 12:00:00","2023-04-14 12:00:00","2024-10-12 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",171500,"68","ELIZABETH DOANE DR","BEDFORD","41479023",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","41 panels","Y","2023-04-14 12:00:00",,,"District 16","Passed"
"SOLAR-2022-13345","2022-10-07 12:00:00","2022-10-13 12:00:00","2023-01-31 12:00:00","2024-10-13 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",12023,"96","FLAMINGO DR","HALIFAX","00318436",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-01-31 12:00:00",,,"District 10","Passed"
"SOLAR-2022-13377","2022-10-06 12:00:00","2022-10-13 12:00:00","2024-10-18 12:00:00","2026-10-17 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",54168,"12","VANESSA DR","DARTMOUTH","00096958",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","23 panels","Y","2024-10-18 12:00:00",,,"District 05","Passed"
"SOLAR-2022-13407","2022-10-27 12:00:00","2022-10-31 12:00:00","2023-07-14 12:00:00","2024-10-31 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",11981,"10","TURNBERRY LANE","HALIFAX","40502205",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-07-14 12:00:00",,,"District 12","Passed"
"SOLAR-2022-13503","2022-10-11 12:00:00","2022-10-13 12:00:00","2023-01-18 12:00:00","2024-10-13 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",124164,"93","WALTER HAVILL DR","HALIFAX","41073313",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install roof mount solar panels","Y","2023-01-18 12:00:00",,,"District 09","Passed"
"SOLAR-2022-13591","2022-11-24 12:00:00","2022-11-25 12:00:00","2022-12-16 12:00:00","2024-11-25 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",172374,"40","DUCKCOVE CRT","HUBLEY","41408212",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install roof mount solar panels","Y","2022-12-16 12:00:00",,,"District 13","Passed"
"SOLAR-2022-13654","2022-10-15 12:00:00",,"2024-02-12 12:00:00",,"Solar Permit","Installation","Roof Mount - Photovoltaic","Withdrawn",121222,"63","LILLIAN DR","LAWRENCETOWN","41023474",,,"Dwelling - Single Detached","Adding a <6kw solar array to offset some of homeowners power consumption.","Y",,,,"District 02",
"SOLAR-2022-13787","2022-10-19 12:00:00","2022-10-20 12:00:00","2022-11-22 12:00:00","2024-10-20 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",146761,"154","GIVEN DR","GRAND LAKE","41323338",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","To install PV Solar system on the roof","Y","2022-11-22 12:00:00",,,"District 01","Passed"
"SOLAR-2022-13912","2022-10-27 12:00:00","2022-10-31 12:00:00","2023-05-18 12:00:00","2024-10-31 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",95390,"273","LOCKVIEW RD","FALL RIVER","00509646",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar installation on existing roof","Y","2023-05-18 12:00:00",,,"District 01","Passed"
"SOLAR-2022-13977","2022-10-24 12:00:00","2022-10-27 12:00:00","2024-11-07 12:00:00","2026-11-06 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",81567,"6097","ROXTON RD","HALIFAX","00050542",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Installation of a 55panel 20.35kWdc Solar PV array","Y","2024-11-07 12:00:00",,,"District 07","Passed"
"SOLAR-2022-13983","2022-10-24 12:00:00","2022-10-26 12:00:00","2023-01-09 12:00:00","2024-10-26 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",130919,"73","SOUTHHAVEN CL","DARTMOUTH","41106535",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Install roof mount solar panels","Y","2023-01-09 12:00:00",,,"District 03","Passed"
"SOLAR-2022-13988","2022-10-24 12:00:00","2022-10-25 12:00:00","2022-11-09 12:00:00","2024-10-25 12:00:00","Solar Permit","Installation","Roof Mount - Photovoltaic","Completed",127760,"253","SELIGS RD","PROSPECT","00376509",,"Building - SOL - Photovoltaic Final","Dwelling - Single Detached","Solar Pv Rooftop Installation","Y","2022-11-09 12:00:00",,,"District 13","Passed"
